feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.14044943820224717,0.09798270893371759,0.09863013698630137,0.09826589595375723,0.116991643454039,0.10526315789473684,0.12,0.13031161473087818,0.1741573033707865,0.1307901907356948
2,0.1949685534591195,0.14736842105263157,0.1607717041800643,0.1443298969072165,0.13559322033898305,0.14285714285714285,0.13953488372093023,0.12666666666666665,0.17567567567567566,0.16774193548387095
4,0.2,0.17993079584775085,0.18060200668896323,0.14840989399293286,0.1506849315068493,0.1597222222222222,0.15331010452961671,0.1522491349480969,0.20833333333333334,0.18729096989966554
8,0.48717948717948717,0.6545454545454545,0.6523076923076924,0.6426426426426427,0.4882943143812709,0.4935064935064935,0.4679487179487179,0.5159235668789809,0.6253869969040248,0.5113268608414239
16,0.7466666666666667,0.7787114845938375,0.7323943661971831,0.7472527472527473,0.7555555555555555,0.8169761273209548,0.7527472527472526,0.7065527065527064,0.7436619718309859,0.7777777777777777
32,0.7844155844155845,0.8032786885245902,0.7935656836461126,0.8073878627968338,0.8106666666666666,0.8295165394402035,0.806282722513089,0.7547169811320755,0.7624309392265193,0.8043478260869565
64,0.8020565552699229,0.8213333333333334,0.8031088082901554,0.8136482939632544,0.8219895287958116,0.8455696202531646,0.8247422680412372,0.7704485488126649,0.7999999999999999,0.8210526315789474
