feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.1685823754789272,0.13127413127413126,0.13818181818181818,0.11764705882352941,0.15261044176706828,0.12734082397003746,0.10317460317460318,0.1195219123505976,0.14285714285714285,0.16788321167883213
2,0.19383259911894274,0.15384615384615383,0.14705882352941177,0.13452914798206278,0.1588785046728972,0.11453744493392072,0.12807881773399016,0.1434977578475336,0.1596244131455399,0.13215859030837007
4,0.16853932584269662,0.15469613259668508,0.3363636363636363,0.15469613259668508,0.36123348017621143,0.15469613259668505,0.41964285714285715,0.12290502793296089,0.12429378531073446,0.19251336898395718
8,0.37735849056603776,0.3444976076555024,0.3148148148148148,0.42666666666666664,0.4279835390946502,0.3766816143497759,0.38317757009345793,0.3876651982378854,0.3470319634703196,0.3378995433789954
16,0.4304932735426009,0.38181818181818183,0.39662447257383965,0.42342342342342343,0.42982456140350883,0.43171806167400884,0.37037037037037035,0.4051724137931034,0.3805309734513274,0.42982456140350883
