name,filename,source,accession
Methyl-RRBS,wgEncodeHaibMethylRrbsK562HaibSitesRep1.bed.gz,ENCODE,GSE27584
Methyl-RRBS,wgEncodeHaibMethylRrbsK562HaibSitesRep2.bed.gz,ENCODE,GSE27584
