feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.19377162629757785,0.30069930069930073,0.27636363636363637,0.1879194630872483,0.24324324324324328,0.2635135135135135,0.3191489361702128,0.2724252491694352,0.28196721311475403,0.3205128205128205
2,0.2885906040268456,0.3290322580645161,0.5051903114186851,0.2671232876712329,0.2953020134228188,0.26666666666666666,0.27152317880794696,0.2715231788079471,0.5,0.31683168316831684
4,0.5653710247349822,0.6060606060606061,0.5629139072847682,0.548611111111111,0.5448028673835126,0.5236363636363637,0.5664335664335665,0.58252427184466,0.660436137071651,0.5492957746478873
8,0.7100977198697069,0.7092651757188498,0.692063492063492,0.6840390879478828,0.6930693069306931,0.6864686468646864,0.6666666666666666,0.6348122866894198,0.6666666666666666,0.6732673267326732
16,0.751552795031056,0.7914110429447854,0.7570977917981073,0.7484662576687117,0.7381703470031545,0.7428571428571429,0.717948717948718,0.6689419795221844,0.7484662576687117,0.7184466019417477
32,0.7592592592592593,0.8203592814371257,0.7854984894259818,0.7777777777777777,0.759493670886076,0.75625,0.7850467289719627,0.7012987012987012,0.7751479289940829,0.7421383647798743
