feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.034482758620689655,0.051546391752577324,0.07804878048780486,0.03488372093023256,0.07526881720430108,0.043243243243243246,0.045454545454545456,0.05208333333333333,0.04,0.04371584699453551
2,0.36363636363636365,0.40816326530612246,0.3316062176165803,0.34065934065934067,0.34594594594594597,0.31693989071038253,0.2967032967032967,0.418848167539267,0.3473684210526316,0.31818181818181823
4,0.6601941747572816,0.7177033492822967,0.5894736842105263,0.6633165829145728,0.7121951219512195,0.5789473684210525,0.6600985221674878,0.7029702970297029,0.6666666666666666,0.6532663316582915
8,0.8018018018018018,0.810810810810811,0.7246376811594203,0.8036529680365296,0.8177777777777778,0.7342995169082125,0.7850467289719627,0.7945205479452055,0.7963800904977375,0.7403846153846153
16,0.8607594936708861,0.8776371308016877,0.8776371308016877,0.8776371308016877,0.895397489539749,0.8157894736842105,0.8717948717948717,0.9016393442622951,0.8471615720524017,0.8444444444444444
