feature,mean,sem,std
JUN (window),98.28189327883744,0.7828169310967779,2.4754844932089104
CAGE (window),97.05837045794776,1.0100513021263409,3.1940626683381104
CTCF (window),95.622693462811,0.7760462555576482,2.454073737207272
GATA2 (window),93.93852274986361,0.7451548530628186,2.3563865452066026
H3K4me3 (window),88.03849378391521,0.559332470231697,1.7687645752204904
H3K79me2 (window),87.83074828490656,0.8845256413971836,2.797115675636421
H3K27ac (window),87.08065235592537,0.8739323746992979,2.7636168250094912
FOS (window),87.07188124121583,0.6032172645241282,1.9075404798325304
DNase-seq (window),85.15742699429892,0.7254240830790373,2.29399237206897
H3K9me1 (window),81.6434781336527,0.901747175417996,2.8515749479442656
H3K36me3 (window),80.2791157480416,0.7725491372995341,2.443014878264671
H3K4me1 (window),78.96156628881933,1.018297782442638,3.220140328817355
H3K9ac (window),78.17322421167664,0.9962389811541856,3.1503842742927883
H2AZ (window),78.07126461403419,1.372878000061914,4.341421429732434
H3K27me3 (window),75.90570181253591,0.6533519889153239,2.0660803987735075
H3K4me2 (promoter),74.7169083110463,0.8169475895151778,2.583415111852254
H3K4me2 (window),74.23189776382218,0.6080070863814837,1.922687226488232
DNase-seq (promoter),72.94979932300605,0.6784313368865098,2.1453882605943777
H3K4me3 (promoter),72.23679681280171,0.9268125637406261,2.930838665480364
H2AZ (promoter),70.03934942901705,0.7610195206301215,2.4065550290406823
CAGE (promoter),69.28409971740459,0.8301331424201432,2.625111491240595
H3K9ac (promoter),66.94929894280091,0.8612077976874944,2.723378179389973
H3K27ac (promoter),66.8480952614132,0.5436958084224391,1.7193171089014665
POLR2A (window),66.73461701723839,0.9229248947598803,2.918544776712422
H4K20me1 (window),60.299119164179004,0.6094407459283249,1.9272208560454949
H3K4me1 (promoter),59.8218681611945,0.7374660442800182,2.3320723969594463
MAX (window),58.91138478378009,0.8690750289962924,2.7482565492051623
FAIRE-seq (promoter),57.60235695828967,0.6793631598641323,2.148334943579745
H3K79me2 (promoter),54.71506564482254,0.5447951433585452,1.7227935112109571
MYC (window),52.96647157938425,0.8120044172024379,2.567783428477314
CTCF (promoter),52.16775655328651,0.7391113501074985,2.3372753108218323
H3K4me1 (enhancer),46.65123122924313,0.8625674540434866,2.727677790310033
POLR2A (promoter),44.60373640674272,0.8604683105320795,2.721039715678423
H3K9me3 (window),44.17393233016043,0.6856105996274354,2.168091082776486
H3K27ac (enhancer),41.281804983765156,0.8195695394425723,2.5917064455337337
H2AZ (enhancer),40.82006307260133,0.4608582384733997,1.4573617120289835
H3K4me2 (enhancer),40.675666494394335,0.43280995275470485,1.368665244694735
MAX (promoter),37.58273686010696,0.621527616908018,1.9654428981259164
FAIRE-seq (enhancer),37.10975895586546,0.6147990343291436,1.9441652517521435
FOS (enhancer),35.999967898882225,0.5162764744901862,1.6326095617508063
H3K9ac (enhancer),33.31074819553358,0.4112039566522944,1.3003410858943973
CAGE (enhancer),32.63956078312064,0.27947272318720834,0.8837703491613303
DNase-seq (enhancer),31.55124869202665,0.5747605495799682,1.817552445882834
MYC (promoter),30.842263579078598,0.4817928321718656,1.5235627100063438
JUN (enhancer),30.212808334001096,0.6482179994036549,2.0498452984332176
H3K4me3 (enhancer),29.049791555042543,0.348459681352932,1.1019262658117688
GATA2 (enhancer),28.069343892934995,0.4017815905925117,1.2705449481976177
FOS (promoter),27.26701167850381,0.4055703799401192,1.2825261521106408
EZH2 (window),25.542451392669054,0.2590848416954773,0.819298206981869
GATA2 (promoter),23.247973754454733,0.47383920336729624,1.4984111273203824
CTCF (enhancer),21.8041368229427,0.40293029995929347,1.2741774861662178
H3K79me2 (enhancer),20.560748844060335,0.5746865964547676,1.8173185855671123
JUN (promoter),16.393796081681312,0.3823974124391051,1.209246794662376
FAIRE-seq (window),15.443845810664834,0.49310337263846227,1.559329779448293
H3K36me3 (promoter),15.156829553388695,0.35959466151578057,1.137138164827163
H3K9me1 (enhancer),12.358553160245485,0.321429981610819,1.016450850156226
H3K27me3 (enhancer),10.95289576240959,0.30368643980679866,0.9603408442971086
H3K36me3 (enhancer),10.600361951919483,0.13644617795183933,0.43148070035246083
H4K20me1 (promoter),8.43276091661124,0.2409882419305413,0.7620717338202035
MYC (enhancer),7.6538969307382105,0.2517840156509448,0.7962109678804684
POLR2A (enhancer),6.92338556131953,0.1285525811228421,0.40651895544174693
MAX (enhancer),6.744397234355695,0.23842929779172953,0.7539796419364202
H3K27me3 (promoter),5.835038977527931,0.24923567822582784,0.78815241737045
H4K20me1 (enhancer),3.4071322563234836,0.17151295564577348,0.5423715880680796
H3K9me1 (promoter),2.2544358174523595,0.11915438443435934,0.37679924800788944
EZH2 (enhancer),1.4804034978691185,0.09494194105689888,0.3002327792172544
H3K9me3 (enhancer),0.9453938632455756,0.09569942483171308,0.30262815323628933
EZH2 (promoter),0.456428393717594,0.04117030881949333,0.13019194784211696
H3K9me3 (promoter),0.00018346662073104756,0.00018346662073104756,0.0005801723961243766
