feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.07692307692307691,0.044642857142857144,0.09361702127659574,0.05106382978723404,0.020942408376963352,0.08658008658008659,0.1391304347826087,0.027149321266968323,0.10483870967741934,0.09090909090909091
2,0.15841584158415842,0.19607843137254902,0.23474178403755866,0.1826923076923077,0.13333333333333333,0.20487804878048782,0.21359223300970875,0.21463414634146344,0.17560975609756097,0.23853211009174313
4,0.4245283018867924,0.42105263157894735,0.38834951456310685,0.42105263157894735,0.4380952380952381,0.3673469387755102,0.5142857142857142,0.48826291079812206,0.41379310344827586,0.37681159420289856
8,0.6610169491525423,0.5903083700440528,0.6266094420600858,0.5991189427312775,0.5955555555555555,0.5663716814159292,0.6206896551724138,0.5829596412556054,0.560344827586207,0.6017699115044248
16,0.7272727272727272,0.6775510204081632,0.7193675889328064,0.7529411764705882,0.7569721115537849,0.7096774193548387,0.7190082644628099,0.7237354085603113,0.7219917012448134,0.6967213114754098
32,0.78125,0.7461538461538461,0.7769784172661871,0.7971014492753623,0.8231046931407944,0.7647058823529413,0.7816091954022988,0.7674418604651162,0.8161764705882353,0.7985611510791367
