feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.1329113924050633,0.1384083044982699,0.12618296529968454,0.12698412698412698,0.1384083044982699,0.11038961038961038,0.1016949152542373,0.08108108108108109,0.125,0.11650485436893203
2,0.13934426229508196,0.14225941422594143,0.19685039370078738,0.1518987341772152,0.14285714285714285,0.13991769547325103,0.11336032388663966,0.10434782608695652,0.14173228346456693,0.1209677419354839
4,0.1391304347826087,0.14414414414414414,0.19574468085106383,0.18018018018018017,0.14285714285714288,0.13793103448275862,0.13675213675213677,0.125,0.1459227467811159,0.11965811965811966
8,0.28037383177570097,0.4189723320158103,0.26008968609865474,0.3983739837398374,0.44621513944223107,0.4,0.42622950819672134,0.39166666666666666,0.4375,0.4621212121212121
16,0.5387453874538746,0.5,0.5318352059925093,0.525179856115108,0.5501858736059478,0.46743295019157094,0.5512367491166078,0.5236363636363637,0.5467625899280576,0.4870848708487085
32,0.5785714285714286,0.5435540069686411,0.5543859649122806,0.5571428571428572,0.6202090592334495,0.564625850340136,0.5830508474576271,0.5866666666666667,0.5753424657534247,0.5442176870748299
64,0.5793103448275863,0.5244755244755244,0.6164383561643836,0.5121107266435986,0.6101694915254237,0.5830508474576271,0.5625,0.5760517799352751,0.5684931506849314,0.4930555555555555
