feature,mean,sem,std
H3K4me1 (enhancer),100.0,0.0,0.0
H3K4me2 (enhancer),78.93605404306167,0.9188295618517547,2.905594196946104
DNase-seq (enhancer),77.50283285633074,1.4958278486526155,4.730222989251894
H2AZ (enhancer),73.35825831139547,1.3778683007229788,4.357202146030443
H3K27ac (enhancer),66.7697243875996,0.8349659385936383,2.6403941346161854
H3K4me3 (promoter),57.55529153634891,0.9669879361386009,3.0578843481034252
H3K4me2 (promoter),55.45095810301707,0.5707703003907226,1.8049341700131776
DNase-seq (promoter),55.32820226399785,0.6858870708628533,2.168965361587927
CAGE (promoter),54.47191958471417,0.8634749220098281,2.7305474559873133
H3K36me3 (enhancer),51.986781699005995,0.6307320295960432,1.9945498067442287
H3K9ac (enhancer),51.2483099388308,0.7303853959491635,2.309681420923276
H3K4me3 (enhancer),49.85549329080963,0.7345807594563889,2.322948325218461
H3K27ac (promoter),48.89944804686855,0.6243202909192627,1.9742741087638078
H2AZ (promoter),47.929787600475926,0.5943339540042074,1.8794489854270464
H3K9ac (promoter),46.97009126745622,1.1036590908512827,3.490076487440755
Methylation (promoter),45.17136905282738,0.7692654810410331,2.432631045434741
POLR2A (promoter),45.121983351081816,0.5778014216128042,1.827168527579702
H3K9me3 (enhancer),44.49761655519311,0.771028541800775,2.438206333088792
H3K79me2 (promoter),42.32629021300642,0.5643503160666012,1.784632397006377
CHD2 (promoter),41.45750048282256,0.7363445032041932,2.328525772670404
H3K4me1 (promoter),41.343367003621736,0.26773735404730364,0.8466598534963804
H3K79me2 (enhancer),40.77911933407346,0.642577926820789,2.0320098229026926
SMC3 (promoter),40.49003784118654,0.8458201475270725,2.6747181570451843
TAF1 (promoter),39.170285152256156,0.5837176226628537,1.845877197993338
MAX (promoter),38.6435296387867,0.5270213948439245,1.6665879833457213
H4K20me1 (enhancer),37.06634510489115,0.6351202789507254,2.0084266696457886
HA-E2F1 (promoter),33.84545227587667,0.4990179179529342,1.5780332139663011
MAZ (promoter),32.94852945507698,0.6196289305768583,1.959438724757223
TBP (promoter),32.789877571521025,0.308032053192445,0.9740828804262667
FAIRE-seq (promoter),32.76237128665338,0.5312729998232157,1.6800327387915945
CAGE (enhancer),32.67199578397145,0.5930766091224047,1.8754729117961946
HCFC1 (promoter),32.52946819234731,0.4853753982364161,1.5348917786383494
FAIRE-seq (enhancer),32.18186856242974,0.6026749904257743,1.9058256585656181
