feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.08048289738430583,0.10462776659959758,0.019753086419753086,0.10080645161290322,0.13333333333333333,0.0784313725490196,0.09333333333333334,0.10894941634241244,0.0857699805068226,0.1346938775510204
2,0.125,0.13807531380753138,0.12525252525252525,0.12525252525252525,0.16,0.08097165991902834,0.1557377049180328,0.1607843137254902,0.14990138067061146,0.13278008298755187
4,0.1453154875717017,0.16872427983539096,0.1411290322580645,0.12627291242362526,0.19367588932806326,0.08817635270541083,0.16907216494845362,0.16237623762376238,0.1607843137254902,0.16977225672877846
8,0.19577735124760076,0.4484126984126984,0.2097087378640777,0.18111753371868977,0.4906367041198502,0.1470019342359768,0.25818882466281307,0.20038535645472064,0.48,0.24561403508771934
16,0.7355932203389831,0.7071057192374349,0.6853146853146853,0.6441281138790036,0.7223168654173766,0.7120954003407155,0.7337883959044369,0.6929674099485422,0.6857142857142857,0.7754442649434571
32,0.8077544426494346,0.7884615384615384,0.7948303715670436,0.7378964941569282,0.7819063004846525,0.7848101265822786,0.8000000000000002,0.7967479674796748,0.8006482982171799,0.8562500000000001
64,0.8229665071770335,0.8180404354587869,0.8299531981279252,0.7565789473684211,0.8224299065420562,0.8333333333333334,0.8304821150855365,0.8238993710691823,0.8177496038034866,0.8858447488584476
