feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.18528610354223435,0.12631578947368421,0.11891891891891893,0.12464589235127478,0.13404825737265413,0.1739130434782609,0.11594202898550723,0.13927576601671307,0.13440860215053765,0.16463414634146342
2,0.21148036253776437,0.14193548387096774,0.15434083601286175,0.13114754098360654,0.17197452229299362,0.1877022653721683,0.16949152542372883,0.18360655737704917,0.17123287671232876,0.1726618705035971
4,0.24,0.13745704467353956,0.13793103448275862,0.14685314685314685,0.13793103448275862,0.1857142857142857,0.18050541516245489,0.1736111111111111,0.18374558303886926,0.1838235294117647
8,0.3099630996309964,0.2121212121212121,0.21132075471698114,0.19305019305019305,0.24812030075187969,0.3432835820895523,0.28888888888888886,0.20377358490566036,0.3247232472324723,0.23220973782771534
16,0.4720496894409938,0.38961038961038963,0.46794871794871795,0.4104234527687296,0.4299674267100978,0.43506493506493504,0.43333333333333335,0.5,0.4768211920529802,0.4147157190635452
32,0.5486725663716814,0.46296296296296297,0.5545722713864307,0.4520123839009288,0.48170731707317077,0.5198776758409785,0.45161290322580644,0.5227963525835866,0.5329153605015674,0.4856230031948882
64,0.5994236311239192,0.4909090909090909,0.553314121037464,0.48358208955223886,0.4894259818731118,0.525679758308157,0.5167173252279635,0.5681159420289855,0.5182926829268293,0.5185185185185186
