feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.08521303258145363,0.11904761904761904,0.08823529411764706,0.1408450704225352,0.11851851851851854,0.10823529411764705,0.08955223880597016,0.13559322033898308,0.10900473933649289,0.1464530892448513
2,0.11428571428571428,0.15346534653465346,0.11917098445595854,0.16000000000000003,0.13197969543147206,0.14814814814814817,0.1076923076923077,0.15463917525773196,0.12376237623762376,0.1625615763546798
4,0.1220159151193634,0.16624685138539044,0.12987012987012989,0.17302798982188294,0.1256544502617801,0.16284987277353688,0.1561712846347607,0.19023136246786634,0.13705583756345177,0.17435897435897438
8,0.1794871794871795,0.19095477386934676,0.43229166666666663,0.1890547263681592,0.47328244274809156,0.18453865336658354,0.18446601941747573,0.21608040201005027,0.18795180722891566,0.21621621621621623
16,0.49642004773269693,0.4449760765550239,0.6428571428571428,0.4137931034482759,0.655813953488372,0.60431654676259,0.46712018140589573,0.5924170616113744,0.6179245283018868,0.645933014354067
32,0.7718550106609808,0.7633262260127932,0.7521739130434782,0.7423580786026199,0.7565217391304347,0.7543859649122807,0.76890756302521,0.784313725490196,0.7412280701754386,0.772823779193206
64,0.8049792531120332,0.788135593220339,0.7640918580375783,0.7768240343347639,0.7966101694915253,0.7586206896551724,0.7966804979253111,0.8117154811715481,0.7478632478632479,0.8083333333333332
128,0.794979079497908,0.8,0.7857142857142857,0.7882599580712788,0.8181818181818181,0.7827956989247311,0.8057851239669421,0.8183716075156576,0.7584745762711863,0.8115942028985508
