feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.05844155844155845,0.05015673981191222,0.03436426116838489,0.04105571847507331,0.06191950464396284,0.07365439093484419,0.019354838709677417,0.07476635514018692,0.06230529595015576,0.0625
2,0.20532319391634982,0.09885931558935361,0.17624521072796936,0.15444015444015444,0.18587360594795538,0.26027397260273977,0.16535433070866143,0.20377358490566036,0.18796992481203006,0.17358490566037735
4,0.4154929577464788,0.37037037037037035,0.460431654676259,0.5704918032786885,0.37453183520599254,0.41258741258741255,0.6139817629179332,0.3840579710144927,0.431095406360424,0.5533333333333332
8,0.6419753086419753,0.6845238095238094,0.7386363636363635,0.6946107784431138,0.6237942122186495,0.6687306501547986,0.688235294117647,0.6198083067092651,0.7549295774647888,0.6687116564417177
16,0.7956989247311829,0.7978436657681941,0.8116710875331564,0.7319884726224783,0.7346938775510203,0.7768595041322314,0.7857142857142857,0.7457627118644069,0.7507002801120448,0.6666666666666666
32,0.8041775456919059,0.7945945945945947,0.8298969072164949,0.7597765363128491,0.7567567567567568,0.8054794520547945,0.7872340425531914,0.7700831024930748,0.7804878048780489,0.7272727272727273
64,0.8307692307692307,0.7750677506775068,0.8316326530612245,0.776536312849162,0.7807486631016043,0.8297872340425532,0.7924528301886792,0.7901907356948229,0.7924528301886792,0.7298050139275765
128,0.8418367346938775,0.7608695652173912,0.8428927680798005,0.787878787878788,0.7924528301886792,0.8368421052631579,0.7859078590785907,0.8106666666666668,0.777479892761394,0.756164383561644
