feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.12941176470588234,0.049999999999999996,0.09302325581395347,0.012658227848101266,0.03488372093023256,0.08588957055214724,0.0718562874251497,0.049689440993788817,0.07317073170731708,0.023952095808383235
2,0.41237113402061853,0.35789473684210527,0.3440860215053763,0.33513513513513515,0.26589595375722547,0.3163841807909605,0.3692307692307692,0.39779005524861877,0.2727272727272727,0.2758620689655172
4,0.41111111111111115,0.3904761904761904,0.4293193717277487,0.4090909090909091,0.3212435233160622,0.3575418994413408,0.41666666666666663,0.41025641025641024,0.3,0.3548387096774193
8,0.43749999999999994,0.4035087719298246,0.45410628019323673,0.3671497584541063,0.35616438356164387,0.40816326530612246,0.4397905759162304,0.4339622641509434,0.33653846153846156,0.33513513513513515
16,0.4692737430167598,0.4074074074074074,0.45098039215686275,0.38095238095238093,0.37864077669902907,0.3597883597883598,0.43781094527363185,0.3819095477386935,0.3763440860215054,0.4422110552763819
32,0.4204545454545454,0.39153439153439157,0.4468085106382978,0.3314917127071823,0.31521739130434784,0.3389830508474576,0.4153005464480874,0.3597883597883598,0.3804347826086957,0.4456521739130435
