feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.0736067297581493,0.06578947368421052,0.0911062906724512,0.09357997823721437,0.08324439701173961,0.07965554359526372,0.06651884700665188,0.092274678111588,0.0800865800865801,0.10021321961620469
2,0.22148394241417496,0.23515981735159816,0.20518602029312288,0.20571428571428568,0.17551963048498845,0.21076746849942724,0.19585253456221202,0.25196850393700787,0.22844344904815234,0.18436406067677946
4,0.35567970204841715,0.35680751173708924,0.3679417122040073,0.35315985130111527,0.35531135531135527,0.37303785780240073,0.3909502262443439,0.3911028730305839,0.406563354603464,0.3634651600753296
8,0.3761996161228407,0.3825569871159564,0.36414048059149723,0.3963636363636364,0.37093690248565964,0.37109375,0.37911025145067695,0.40464666021297196,0.38921001926782267,0.3893480257116621
16,0.4407096171802054,0.39496611810261373,0.4075471698113208,0.40236686390532544,0.40460210930009594,0.4039408866995074,0.3984375,0.42569511025886864,0.420443587270974,0.3733862959285005
