feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.05106382978723404,0.08108108108108107,0.06451612903225808,0.038709677419354833,0.13824884792626727,0.06542056074766356,0.012658227848101267,0.07547169811320754,0.0625,0.07655502392344499
2,0.22222222222222224,0.1925133689839572,0.25,0.22727272727272727,0.3027027027027027,0.17241379310344826,0.26136363636363635,0.23728813559322032,0.20930232558139533,0.16184971098265896
4,0.49438202247191015,0.4942528735632184,0.5638297872340426,0.5027322404371585,0.6086956521739131,0.38323353293413176,0.5139664804469273,0.5028571428571428,0.48587570621468923,0.4444444444444444
8,0.7029702970297029,0.634920634920635,0.6699029126213593,0.6326530612244897,0.6666666666666666,0.6458333333333334,0.6732673267326733,0.65625,0.6534653465346534,0.696969696969697
16,0.7867298578199051,0.6666666666666667,0.7798165137614679,0.7596153846153847,0.7439613526570048,0.7720930232558141,0.7428571428571429,0.753623188405797,0.7102803738317757,0.7887323943661971
32,0.8127853881278538,0.742857142857143,0.8070175438596492,0.7464114832535885,0.7699530516431925,0.7909090909090909,0.7963800904977375,0.7570093457943925,0.7665198237885462,0.8075117370892018
64,0.8245614035087719,0.75,0.7946428571428572,0.7247706422018348,0.7747747747747747,0.8141592920353982,0.808695652173913,0.776255707762557,0.8154506437768241,0.8468468468468469
