feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.24719101123595502,0.23806024981631155,0.2404870624048706,0.24452830188679248,0.22916666666666666,0.2408921933085502,0.23705926481620404,0.10268562401263823,0.2661764705882353,0.24465733235077378
2,0.3300529901589705,0.29305135951661626,0.33855331841909025,0.32194381169324227,0.3251304996271439,0.3157894736842105,0.31864406779661014,0.347953216374269,0.3602941176470589,0.34902244750181033
4,0.5133203378817414,0.48037258815701933,0.5135313531353136,0.3350864012021037,0.48982271831910695,0.4677206851119895,0.4843342036553525,0.4980544747081711,0.5232177894048398,0.510032362459547
8,0.6083788706739526,0.5909365558912387,0.581218274111675,0.6051344743276283,0.5821179454660749,0.578820697954272,0.5883777239709443,0.6130030959752323,0.5678688524590164,0.5993993993993993
16,0.6754020250148898,0.6614552014431749,0.6806220095693781,0.6506469500924214,0.6598434677904876,0.6476652516676774,0.676959619952494,0.6674641148325359,0.693853427895981,0.6497584541062802
