feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.1646090534979424,0.2066115702479339,0.12096774193548387,0.22040816326530613,0.19834710743801653,0.17120622568093385,0.15019762845849802,0.14345991561181434,0.12987012987012989,0.1504424778761062
2,0.3050847457627119,0.34188034188034183,0.329004329004329,0.3111111111111111,0.28054298642533937,0.2844827586206896,0.2893617021276596,0.27802690582959644,0.32599118942731276,0.30973451327433627
4,0.6192468619246861,0.6473029045643154,0.6218487394957983,0.6048387096774194,0.5575221238938054,0.5701754385964913,0.6302521008403362,0.5887445887445888,0.5897435897435898,0.6173913043478261
8,0.7388059701492536,0.8,0.7251908396946565,0.7605633802816902,0.7168458781362008,0.7591240875912408,0.7720588235294119,0.7509025270758123,0.711267605633803,0.6914498141263941
16,0.8102189781021898,0.8280701754385964,0.7720588235294119,0.7857142857142857,0.794425087108014,0.8000000000000002,0.8156028368794327,0.7985865724381627,0.7985611510791367,0.7720588235294117
