name,filename,source,accession
HCFC1,wgEncodeSydhTfbsK562Hcfc1nb10068209IggrabPk.narrowPeak,ENCODE,GSE31477
HDAC1,wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk.narrowPeak,ENCODE,GSE29611
HDAC2,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk.narrowPeak,ENCODE,GSE32465
HDAC6,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk.narrowPeak,ENCODE,GSE29611
HDAC8,wgEncodeAwgTfbsUchicagoK562Ehdac8UniPk.narrowPeak,ENCODE,GSE31363
HMGN3,wgEncodeAwgTfbsSydhK562Hmgn3UniPk.narrowPeak,ENCODE,GSE31477
IRF1,wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk.narrowPeak,ENCODE,GSE31477
JUN,wgEncodeAwgTfbsSydhK562CjunIfng30UniPk.narrowPeak,ENCODE,GSE31477
JUNB,wgEncodeAwgTfbsUchicagoK562EjunbUniPk.narrowPeak,ENCODE,GSE31363
JUND,wgEncodeAwgTfbsSydhK562JundIggrabUniPk.narrowPeak,ENCODE,GSE31477
KAT2B,wgEncodeBroadHistoneK562PcafPk.broadPeak,ENCODE,GSE29611
KDM1A,wgEncodeBroadHistoneK562Lsd1Pk.broadPeak,ENCODE,GSE29611
KDM5B,wgEncodeAwgTfbsBroadK562Plu1UniPk.narrowPeak,ENCODE,GSE29611
MAFF,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk.narrowPeak,ENCODE,GSE31477
MAFK,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk.narrowPeak,ENCODE,GSE31477
MAX,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk.narrowPeak,ENCODE,GSE32465
MAZ,wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk.narrowPeak,ENCODE,GSE31477
MEF2A,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk.narrowPeak,ENCODE,GSE32465
MXI1,wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk.narrowPeak,ENCODE,GSE31477
MYC,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk.narrowPeak,ENCODE,GSE31477
NCOR1,wgEncodeBroadHistoneK562NcorPk.broadPeak,ENCODE,GSE29611
NELFE,wgEncodeAwgTfbsSydhK562NelfeUniPk.narrowPeak,ENCODE,GSE31477
NFE2,wgEncodeAwgTfbsSydhK562Nfe2UniPk.narrowPeak,ENCODE,GSE31477
NFYA,wgEncodeAwgTfbsSydhK562NfyaUniPk.narrowPeak,ENCODE,GSE31477
NFYB,wgEncodeAwgTfbsSydhK562NfybUniPk.narrowPeak,ENCODE,GSE31477
NR2C2,wgEncodeAwgTfbsSydhK562Tr4UcdUniPk.narrowPeak,ENCODE,GSE31477
NR2F2,wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk.narrowPeak,ENCODE,GSE32465
NR4A1,wgEncodeUchicagoTfbsK562Enr4a1ControlPk.narrowPeak,ENCODE,GSE31363
NRF1,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk.narrowPeak,ENCODE,GSE31477
PHF8,wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk.narrowPeak,ENCODE,GSE29611
PML,wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk.narrowPeak,ENCODE,GSE32465
POLR2A,wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk.narrowPeak,ENCODE,GSE32465
POLR3G,wgEncodeAwgTfbsSydhK562Pol3UniPk.narrowPeak,ENCODE,GSE31477
RAD21,wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk.narrowPeak,ENCODE,GSE32465
RBBP5,wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk.narrowPeak,ENCODE,GSE29611
RCOR1,wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk.narrowPeak,ENCODE,GSE31477
REST,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk.narrowPeak,ENCODE,GSE32465
RFX5,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk.narrowPeak,ENCODE,GSE31477
RNF2,wgEncodeBroadHistoneK562Rnf2Pk.broadPeak,ENCODE,GSE29611
SAP30,wgEncodeAwgTfbsBroadK562Sap3039731UniPk.narrowPeak,ENCODE,GSE29611
