feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.15028901734104047,0.11392405063291139,0.02631578947368421,0.06289308176100629,0.0261437908496732,0.04848484848484848,0.1038961038961039,0.06369426751592357,0.07228915662650602,0.10650887573964499
2,0.2336448598130841,0.47,0.4210526315789474,0.24719101123595502,0.4752475247524752,0.3942307692307692,0.48484848484848486,0.49,0.4600000000000001,0.43902439024390244
4,0.5321100917431192,0.5288461538461539,0.507177033492823,0.5514018691588785,0.45161290322580644,0.5517241379310345,0.5727699530516431,0.5610859728506787,0.5428571428571429,0.5073170731707317
8,0.5508474576271186,0.5811965811965814,0.5338983050847458,0.5652173913043478,0.5086206896551725,0.48803827751196166,0.5545454545454546,0.5579399141630901,0.5161290322580645,0.5333333333333334
16,0.5405405405405406,0.6206896551724137,0.5135135135135135,0.5764192139737991,0.49765258215962443,0.4528301886792453,0.5566037735849056,0.5777777777777777,0.5550239234449761,0.5526315789473685
