feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.018181818181818184,0.04385964912280702,0.037914691943127965,0.033613445378151266,0.034334763948497854,0.019230769230769232,0.057692307692307696,0.009389671361502346,0.009433962264150941,0.01923076923076923
2,0.3466666666666667,0.2866894197952219,0.37499999999999994,0.27941176470588236,0.33457249070631967,0.15810276679841898,0.24460431654676257,0.34965034965034963,0.25830258302583026,0.31141868512110726
4,0.5512367491166077,0.5633802816901408,0.6006600660066007,0.6040268456375839,0.6060606060606061,0.5376344086021505,0.5263157894736842,0.5236363636363636,0.5314685314685315,0.6645569620253166
8,0.7179487179487178,0.7133757961783439,0.7437499999999999,0.7278481012658228,0.7891566265060241,0.686084142394822,0.6837060702875399,0.7284345047923323,0.7244582043343654,0.7636363636363637
16,0.7867867867867867,0.7719298245614035,0.8139534883720929,0.8083832335329342,0.8376068376068376,0.7828746177370031,0.7400611620795108,0.8023952095808383,0.8034682080924855,0.848137535816619
32,0.8022922636103151,0.792022792022792,0.8498583569405099,0.8530259365994236,0.856338028169014,0.8023952095808382,0.7965116279069766,0.819484240687679,0.8271954674220964,0.8707865168539326
64,0.8426966292134831,0.8254847645429363,0.8666666666666665,0.8795518207282913,0.8722222222222222,0.8128654970760234,0.8262108262108261,0.8388888888888888,0.8342541436464088,0.8746518105849582
128,0.856338028169014,0.8435013262599469,0.8773841961852861,0.877094972067039,0.8760330578512396,0.8328611898016997,0.8531855955678671,0.8524590163934427,0.8632707774798928,0.8808864265927978
