predictor_value,dependence,predictor_name
0.0002154969013114857,-5.596381308622345,H2AZ (window)
0.0002517749416237638,-5.590409315838967,H2AZ (window)
0.0002880529819360419,-5.4900838152906815,H2AZ (window)
0.00032433102224832,-5.388341955902974,H2AZ (window)
0.0003606090625605981,-5.3753972580233755,H2AZ (window)
0.0003968871028728762,-5.37676613835634,H2AZ (window)
0.0004331651431851543,-5.375679508625646,H2AZ (window)
0.00046944318349743236,-5.375397706157678,H2AZ (window)
0.0005057212238097104,-5.372346288321596,H2AZ (window)
0.0005419992641219885,-5.382589919043468,H2AZ (window)
0.0005782773044342666,-5.383418960302119,H2AZ (window)
0.0006145553447465447,-5.385950055735995,H2AZ (window)
0.0006508333850588229,-5.389541997448706,H2AZ (window)
0.000687111425371101,-5.389031191310752,H2AZ (window)
0.0007233894656833791,-5.389652806670945,H2AZ (window)
0.0007596675059956572,-5.386144339221959,H2AZ (window)
0.0007959455463079352,-5.361324927796893,H2AZ (window)
0.0008322235866202133,-5.347932865338111,H2AZ (window)
0.0008685016269324914,-5.2979321729083155,H2AZ (window)
0.0009047796672447695,-5.292633498747819,H2AZ (window)
0.0009410577075570476,-5.282772260381819,H2AZ (window)
0.0009773357478693257,-5.285220835169679,H2AZ (window)
0.0010136137881816038,-5.286813293256824,H2AZ (window)
0.0010498918284938819,-5.287496564959507,H2AZ (window)
0.00108616986880616,-5.287758229850276,H2AZ (window)
0.001122447909118438,-5.2878369202198865,H2AZ (window)
0.0011587259494307161,-5.2868891441629575,H2AZ (window)
0.0011950039897429942,-5.29167625777063,H2AZ (window)
0.0012312820300552723,-5.291051626456272,H2AZ (window)
0.0012675600703675504,-5.281861262279684,H2AZ (window)
0.0013038381106798285,-5.280895931084503,H2AZ (window)
0.0013401161509921065,-5.273103924855931,H2AZ (window)
0.0013763941913043846,-5.272973668661031,H2AZ (window)
0.0014126722316166627,-5.251239170526351,H2AZ (window)
0.0014489502719289408,-5.247702072406801,H2AZ (window)
0.0014852283122412189,-5.247347694013591,H2AZ (window)
0.001521506352553497,-5.246778729081106,H2AZ (window)
0.001557784392865775,-5.2499945212565375,H2AZ (window)
0.0015940624331780531,-5.246348434900218,H2AZ (window)
0.0016303404734903312,-5.2452213039061455,H2AZ (window)
0.0016666185138026093,-5.2438209027869815,H2AZ (window)
