feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.10256410256410255,0.13124999999999998,0.13245033112582782,0.1254355400696864,0.13496932515337423,0.11728395061728396,0.14465408805031446,0.16556291390728478,0.08148148148148147,0.142433234421365
2,0.1048689138576779,0.17777777777777778,0.14814814814814814,0.1520912547528517,0.15267175572519084,0.125,0.15162454873646208,0.18909090909090912,0.13768115942028986,0.176056338028169
4,0.10156249999999999,0.20938628158844766,0.1492537313432836,0.15999999999999998,0.16666666666666666,0.14901960784313725,0.1450381679389313,0.2074074074074074,0.12260536398467434,0.1758241758241758
8,0.4015151515151515,0.4206349206349206,0.4461538461538461,0.43137254901960786,0.45112781954887216,0.4189723320158102,0.5551839464882943,0.5241379310344828,0.3058823529411765,0.4235294117647059
16,0.6031746031746031,0.6435331230283912,0.6241610738255033,0.589041095890411,0.6426229508196721,0.6153846153846154,0.6384364820846906,0.6006825938566553,0.5925925925925927,0.5743944636678201
