feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.02442002442002442,0.024813895781637715,0.021978021978021976,0.015000000000000001,0.022443890274314218,0.02901554404145078,0.01728395061728395,0.017114914425427872,0.010526315789473684,0.02187120291616039
2,0.10399032648125756,0.09615384615384616,0.08904933814681107,0.08293838862559243,0.08104886769964244,0.09882352941176471,0.10994152046783627,0.11695906432748537,0.11228070175438597,0.09431680773881498
4,0.31136363636363634,0.3201803833145434,0.2968036529680365,0.2899884925201381,0.26229508196721313,0.2921857304643261,0.3288288288288288,0.31532524807056234,0.2797687861271676,0.29782359679266895
8,0.6193181818181818,0.5686274509803921,0.5051124744376277,0.5408678102926336,0.46492146596858636,0.5112016293279021,0.5378486055776892,0.5436308926780341,0.5138178096212896,0.5427435387673957
16,0.7060900264783759,0.7310344827586206,0.7399829497016198,0.7183098591549295,0.7349397590361445,0.7211120764552563,0.7628691983122363,0.7566182749786508,0.706713780918728,0.7237762237762239
32,0.792604501607717,0.8116169544740973,0.8188976377952756,0.801909307875895,0.8009554140127387,0.7961783439490446,0.835423197492163,0.8045052292839904,0.7831612390786338,0.7967741935483871
