feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.03861003861003861,0.04958677685950413,0.03773584905660377,0.05882352941176471,0.03676470588235294,0.06691449814126393,0.09561752988047809,0.044444444444444446,0.030303030303030304,0.016129032258064516
2,0.24786324786324782,0.26778242677824265,0.28691983122362874,0.30962343096234307,0.22317596566523606,0.26562499999999994,0.28451882845188287,0.2157676348547718,0.1965811965811966,0.24576271186440674
4,0.5968992248062015,0.5369649805447471,0.5439999999999999,0.5506072874493928,0.603921568627451,0.6360153256704981,0.578125,0.5923076923076924,0.59375,0.5519999999999999
8,0.7605633802816901,0.7338129496402878,0.7304964539007093,0.7188612099644128,0.7808219178082192,0.7595818815331009,0.7106227106227107,0.7473309608540925,0.7972508591065292,0.7292418772563177
16,0.825082508250825,0.8148148148148148,0.7972972972972973,0.7999999999999999,0.8080808080808081,0.8690095846645368,0.8079470198675496,0.8013468013468014,0.8262295081967214,0.7986348122866894
32,0.8624999999999999,0.8289473684210527,0.8534201954397395,0.8544303797468354,0.8438538205980066,0.8797468354430379,0.8131147540983606,0.8761904761904762,0.8765432098765433,0.8338762214983713
64,0.8571428571428571,0.8598130841121495,0.8742138364779873,0.8706624605678233,0.8726114649681529,0.891640866873065,0.8664688427299703,0.8719512195121952,0.9123867069486404,0.8580441640378549
