feature_count,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
1,0.13259668508287292,0.1534090909090909,0.14565826330532214,0.15339233038348082,0.1524390243902439,0.09202453987730062,0.15028901734104047,0.13333333333333333,0.14647887323943662,0.1710914454277286
2,0.15384615384615385,0.17449664429530204,0.15384615384615383,0.17482517482517484,0.16197183098591547,0.1142857142857143,0.13999999999999999,0.11940298507462686,0.16083916083916083,0.17808219178082194
4,0.15658362989323843,0.1773049645390071,0.14022140221402213,0.17518248175182483,0.2184873949579832,0.11808118081180813,0.15172413793103448,0.12698412698412695,0.1678832116788321,0.17843866171003717
8,0.20634920634920637,0.2625482625482625,0.25,0.2608695652173913,0.27272727272727276,0.175,0.15916955017301038,0.25806451612903225,0.18181818181818182,0.23430962343096237
16,0.35019455252918286,0.3849056603773585,0.42696629213483145,0.4199288256227757,0.38431372549019616,0.380952380952381,0.2605042016806723,0.3515625,0.40569395017793597,0.4460431654676259
32,0.47682119205298024,0.4775086505190311,0.5974025974025974,0.5414012738853503,0.5677419354838709,0.48630136986301375,0.4915824915824916,0.5521885521885522,0.5386996904024768,0.5167785234899329
64,0.5597484276729561,0.5225806451612903,0.6075949367088608,0.5867507886435331,0.5956112852664577,0.5407166123778501,0.5573770491803278,0.5741324921135647,0.5645645645645645,0.6105919003115265
128,0.5750798722044729,0.5359477124183006,0.6215384615384615,0.5802469135802469,0.5942492012779553,0.504983388704319,0.5741324921135647,0.6006191950464396,0.5818181818181817,0.5878594249201279
